scan_protocol_no,scan_protocol_name,scan_series,Speed,Type,Rows,HiRes,Shuttle,Tilt,SFOV,kV,SmartmA,NoiseIndex,MinmA,MaxmA,Message,Timer,Light,CTDI,CTDI NV,DLP,DLP NV,mA, pitch
1.5, QQ Brain-Head Routine TFI-H,Series 1,0.8, Helical,64, false, false, S0.0, Adult Head,100, true,4,150,515,102,0,0,55.19,1000,1880.49,1000,,
1.3, Dental non-Helical,,1, Axial, SmartCollimation, true, false, S0.0, Adult Head,140, true,18,80,150,101,0,0,29.72,1000,475.46,1000,,
1.4, QQ Brain non-Helical Routine,,1, Axial,256, false, false, S0.0, Adult Head,100, true,4,200,720,101,0,0,66.38,1000,1062.1,1000,,
1.11, Head CTA 1Volume SmartPrep Routine,Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,55.26,1000,884.2,1000,,
1.11, Head CTA 1Volume SmartPrep Routine,Series 3 Group 1 Scan Settings ,1, Axial, SmartCollimation, true, false, S0.0, Adult Head,100, true,3.2,200,570,101,0,0,52.5,1000,839.99,1000,,
1.17, Head CTA+CTV 1Volume SmartPrep,Series 1 Group 1 Recon 1 Recon Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,55.26,1000,884.2,1000,,
1.17, Head CTA+CTV 1Volume SmartPrep,Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,55.26,1000,884.2,1000,,
1.17, Head CTA+CTV 1Volume SmartPrep,Series 3 Group 1 Scan Settings ,1, Axial, SmartCollimation, true, false, S0.0, Adult Head,100, true,3.2,200,570,101,0,0,52.5,1000,839.99,1000,,
1.17, Head CTA+CTV 1Volume SmartPrep,Series 3 Group 2 Scan Settings ,1, Axial, SmartCollimation, true, false, S0.0, Adult Head,100, true,3.2,200,570,101,0,0,52.5,1000,839.99,1000,,
1.2, Brain Helical Routine,Series 2 Group 1 Scan Settings ,0.8, Helical,64, false, false, S0.0, Adult Head,100, true,3.2,150,515,101,0,0,55.14,1000,1216.97,1000,,
1.2, Brain Helical Routine,Series 3 Group 1 Scan Settings ,0.8, Helical,64, false, false, S0.0, Adult Head,100, true,3.2,150,515,101,0,0,55.14,1000,1327.24,1000,,
1.18, Head CTA+CTV Helical SmartPrep,Series 2 Group 1 Scan Settings ,0.8, Helical,64, false, false, S0.0, Adult Head,100, true,3.2,200,515,101,0,0,49.01,1000,885.7,1000,,
1.18, Head CTA+CTV Helical SmartPrep,Series 3 Group 1 Scan Settings ,0.6, Helical,64, true, false, S0.0, Adult Head,100, true,3.2,200,570,101,0,0,48.82,1000,881.4,1000,,
1.18, Head CTA+CTV Helical SmartPrep,Series 3 Group 2 Scan Settings ,0.6, Helical,64, true, false, S0.0, Adult Head,100, true,3.2,200,570,101,0,0,48.82,1000,881.4,1000,,
1.14, Head-Neck CTA Helical SmartPrep Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Adult Head,100, false,11.6,200,700,101,0,0,6.63,1000,218.13,1000,,
1.14, Head-Neck CTA Helical SmartPrep Routine,Series 3 Group 1 Scan Settings ,0.6, Helical,64, true, false, S0.0, Adult Head,100, false,8,200,570,101,0,0,34.33,1000,1129.16,1000,,
1.13, Head Perfusion Routine,Series 2 Group 1 Scan Settings ,0.35, Axial, SmartCollimation, false, false, S0.0, Adult Head,80,285,,,,101,0,0,202.74,1000,3243.76,1000,,
1.19, QQ (Plain),Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,55.26,1000,884.2,1000,,
1.19, QQ (Plain),Series 3 Group 1 Scan Settings ,0.35, Helical,128, false, false, S0.0, Medium,100, true,11.6,200,700,102,0,2,3.88,1000,291.47,1000,,
1.2, QQ (Plain + CE 2Phase),Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,55.26,1000,884.2,1000,,
1.2, QQ (Plain + CE 2Phase),Series 3 Group 1 Scan Settings ,0.35, Helical,128, false, false, S0.0, Medium,100, true,11.6,200,700,102,0,2,3.88,1000,291.47,1000,,
1.2, QQ (Plain + CE 2Phase),Series 4 Group 1 Scan Settings ,0.35, Helical,128, false, false, S0.0, Medium,100, true,11.6,200,700,102,0,2,3.88,1000,291.47,1000,,
1.21, AI,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Adult Head,100, true,2,350,700,101,0,0,76.58,1000,1383.91,1000,,
1.21, AI,Series 3 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Medium,100, true,6,300,720,102,0,2,14.03,1000,969.02,1000,,
1.22, GSI - Head Helical,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,84.62,1000,1866.67,1000,395,33
1.22, GSI - Head Helical,Series 3 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,84.62,1000,2035.9,1000,395,33
1.15, GSIX - Head CTA Helical SmartPrep Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,35.65,1000,643.79,1000,280,33
1.15, GSIX - Head CTA Helical SmartPrep Routine,Series 3 Group 1 Scan Settings ,0.5, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,30.08,1000,543.26,1000,280,33
1.23, GSI - Neck CTA SmartPrep,Series 2 Group 1 Scan Settings ,1, Helical,128, false, false, S0.0, Large Body,120,,,,,101,0,0,8.8,1000,317.43,1000,185,127
1.23, GSI - Neck CTA SmartPrep,Series 3 Group 1 Scan Settings ,1, Helical,128, false, false, S0.0, Large Body,120,,,,,101,0,0,8.8,1000,317.43,1000,185,127
1.1, Brain 100mm 2Volume,Series 2 Group 1 Scan Settings ,1, Axial,160, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,76.05,1000,1368.94,1000,,
1.1, Brain 100mm 2Volume,Series 3 Group 1 Scan Settings ,1, Axial,160, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,63.38,1000,1140.79,1000,,
1.16, GSIX - Head-Neck CTA Helical SmartPrep Routine ,Series 2 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,35.65,1000,643.79,1000,280,33
1.16, GSIX - Head-Neck CTA Helical SmartPrep Routine ,Series 3 Group 1 Scan Settings ,0.5, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,15.76,1000,518.42,1000,280,63
1.6, Brain non-Helical Routine,Series 2 Group 1 Scan Settings ,1, Axial,256, false, false, S0.0, Adult Head,100, true,4,200,720,101,0,0,66.38,1000,1062.1,1000,,
1.6, Brain non-Helical Routine,Series 3 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,4,200,720,101,0,0,55.32,1000,885.08,1000,,
1.9, Dental Helical 140kV Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,64, true, false, S0.0, Adult Head,140, true,17,80,130,101,0,2,33.38,1000,602.74,1000,,
1.7, Brain Head Routine TFI-H,Series 2 Group 1 Scan Settings ,0.8, Helical,64, false, false, S0.0, Adult Head,100, true,4,150,515,102,0,0,55.19,1000,2432.42,1000,,
1.8, GSIX - Head Helical,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,84.62,1000,1866.67,1000,395,33
1.8, GSIX - Head Helical,Series 3 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Adult Head,120,,,,,101,0,0,84.62,1000,2035.9,1000,395,33
1.1, GSIX Dental Helical,Series 2 Group 1 Scan Settings ,1, Helical,128, false, false, S0.0, Large Body,140,,,,,101,0,2,8.8,1000,176.65,1000,185,127
1.12, Head CTA+CTV 1Volume SmartPrep Routine,Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,3.2,200,720,101,0,0,55.32,1000,885.08,1000,,
1.12, Head CTA+CTV 1Volume SmartPrep Routine,Series 3 Group 1 Scan Settings ,1, Axial, SmartCollimation, true, false, S0.0, Adult Head,100, true,3.2,200,570,101,0,0,52.55,1000,840.83,1000,,
1.25, RT Head,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Medium,120, false,6,150,515,102,0,0,39.48,1000,1739.87,1000,,
2.1, Sinus&Face Axial,Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,6.1,100,330,101,0,0,30.39,1000,486.31,1000,,
2.1, Sinus&Face Axial,Series 3 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Adult Head,100, true,6.1,100,330,101,0,0,9.21,1000,147.37,1000,,
2.3, Inner Ear non-Helical Routine,Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, true, false, S0.0, Adult Head,100, true,6.1,100,330,101,0,0,31.37,1000,313.72,1000,,
2.2, QQ Orbit Sinus Helical Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Adult Head,100, true,8,100,330,101,0,0,9.2,1000,166.24,1000,,
2.2, QQ Orbit Sinus Helical Routine,Series 3 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Adult Head,100, true,8,100,330,101,0,0,9.2,1000,166.24,1000,,
2.4, Navigation Orbit Sinus Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Adult Head,100, true,6.1,100,330,101,0,0,9.19,1000,166.07,1000,,
3.1, Head-Neck,Series 2 Group 1 Scan Settings ,0.5, Helical,64, false, false, S0.0, Adult Head,100, true,3.2,150,580,101,0,0,55.5,1000,1224.91,1000,,
3.1, Head-Neck,Series 2 Group 2 Scan Settings ,0.5, Helical,64, false, false, S0.0, Adult Head,100, true,5,150,700,101,0,0,66.6,1000,1569.79,1000,,
3.1, Head-Neck,Series 3 Group 1 Scan Settings ,0.5, Helical,64, false, false, S0.0, Adult Head,100, true,3.2,150,580,101,0,0,55.5,1000,1224.91,1000, ,
3.1, Head-Neck,Series 3 Group 2 Scan Settings ,0.5, Helical,64, false, false, S0.0, Adult Head,100, true,5,150,700,101,0,0,66.6,1000,1569.79,1000,,
3.3, Neck Helical Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Small Body,100, true,5,150,700,102,0,2,17.19,1000,566.03,1000,,
3.3, Neck Helical Routine,Series 3 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Small Body,100, true,5,150,700,102,0,2,17.19,1000,737.95,1000,,
3.4, Neck - Chest Helical Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,11.6,250,700,102,0,2,14.32,1000,803.77,1000,,
3.4, Neck - Chest Helical Routine,Series 3 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,11.6,250,700,102,0,2,14.32,1000,803.77,1000,,
3.5, Neck - Pelvis Helical Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,11.6,250,700,102,0,2,14.32,1000,1161.84,1000,,
3.5, Neck - Pelvis Helical Routine,Series 3 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,11.6,250,700,102,0,2,14.32,1000,1161.84,1000,,
3.2, C-Spine non Helical Routine ,Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Small Body,100, true,5,150,700,101,0,2,9.36,1000,262.05,1000,,
3.8, GSI - Neck,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Large Body,120,,,,,102,0,2,8.48,1000,279.1,1000,215,63
3.8, GSI - Neck,Series 3 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Large Body,120,,,,,102,0,2,8.48,1000,363.92,1000,215,63
3.9, GSI - C-Spine,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Large Body,120,,,,,101,0,0,8.48,1000,245.17,1000,215,63
3.1, QQ C-Spine Helical MAR Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Small Body,100, true,5,150,700,102,0,2,8.66,1000,260.45,1000,,
3.12, Neck 4D,Series 2 Group 1 Scan Settings ,0.35, Cine,160, false, false, S0.0, Adult Head,80, true,11.6,100,600,102,0,2,54.11,1000,541.12,1000,,
3.7, GSIX  C-Spine Routine,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Medium,100,,,,,102,0,2,14.49,1000,476.64,1000,270,63
3.6, Neck CTA Helical SmartPrep Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Adult Head,100, true,11.6,200,700,102,0,1,6.62,1000,217.91,1000,,
3.6, Neck CTA Helical SmartPrep Routine,Series 3 Group 1 Scan Settings ,0.6, Helical,64, true, false, S0.0, Adult Head,100, true,11.6,200,570,102,0,1,34.3,1000,1128.03,1000,,
3.6, Neck CTA Helical SmartPrep Routine,Series 3 Group 2 Scan Settings ,0.6, Helical,64, true, false, S0.0, Adult Head,100, true,11.6,200,570,102,0,1,34.3,1000,1128.03,1000,,
3.11, GSI - Neck - Copy,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Large Body,120,,,,,102,0,2,9.07,1000,298.49,1000,185,63
3.11, GSI - Neck - Copy,Series 3 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Large Body,120,,,,,102,0,2,9.07,1000,389.2,1000,215,63
3.14, GSIX Special ,Series 2 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Small Body,100, true,5,150,700,102,0,2,17.19,1000,256.57,1000,,
3.14, GSIX Special ,Series 3 Group 1 Scan Settings ,1, Helical,128, false, false, S0.0, Large Body,100,,,,,102,0,2,8.8,1000,704.58,1000,185,127
3.14, GSIX Special ,Series 4 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Small Body,100, true,5,150,700,102,0,2,17.19,1000,256.57,1000,,
3.15, GSIX neck-Pelvi CE Only ,Series 2 Group 1 Scan Settings ,1, Helical,128, false, false, S0.0, Large Body,100,,,,,102,0,2,8.8,1000,757.37,1000,185,127
3.13, GSIX neck-Pelvi P+CE,Series 2 Group 1 Scan Settings ,1, Helical,128, false, false, S0.0, Large Body,100, true,11.6,100,720,102,0,2,20.1,1000,1781.8,1000,,
3.13, GSIX neck-Pelvi P+CE,Series 3 Group 1 Scan Settings ,1, Helical,128, false, false, S0.0, Large Body,100,,,,,102,0,2,8.8,1000,493.41,1000,185,127
4.12, Hand Tendon 140keV nonHelical,Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, true, false, S0.0, Small Body,140, true,7.8,200,405,102,0,0,22.43,1000,448.67,1000,,
4.1, Shoulder Axial,Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, true, false, S0.0, Medium,100, true,7.8,150,570,101,0,0,12.15,1000,291.65,1000,,
4.4, QQ Arm on Abd Helical MAR,Series 2 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Medium,100, true,7.8,200,700,102,0,2,10.25,1000,267.29,1000,,
4.3, Arm on Abd Axial,Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, false, false, S0.0, Medium,120, true,7.8,200,700,102,0,2,19.04,1000,456.86,1000,,
4.6, QQ Arm over Head Helical MAR,Series 2 Group 1 Scan Settings ,0.6, Helical,64, true, false, S0.0, Small Body,100, true,7.8,100,450,102,0,0,8.65,1000,225.44,1000,,
4.5, Arm over Head Axial,Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, true, false, S0.0, Small Body,100, true,7.8,100,450,102,0,0,9.79,1000,215.47,1000,, 
4.8, GSI - Shoulder,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Medium,120,,,,,101,0,0,13.5,1000,336.21,1000,380,63
4.9, GSI - Arm on Abd,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Medium,120,,,,,102,0,2,13.5,1000,336.21,1000,380,63
4.1, GSI - Arm over Head,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Medium,120,,,,,102,0,0,13.5,1000,336.21,1000,380,63
4.2, QQ Shoulder Helical MAR,Series 2 Group 1 Scan Settings ,0.6, Helical,64, true, false, S0.0, Medium,100, true,7.8,150,570,102,0,2,10.25,1000,267.11,1000,,
4.13, GSIX Arm over Head Helical,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Medium,100,,,,,102,0,0,14.49,1000,360.75,1000,270,63
4.7, Hand nonHelical Routine,Series 2 Group 1 Scan Settings ,0.6, Axial, SmartCollimation, true, false, S0.0, Small Body,100, true,7.8,100,450,102,0,0,9.92,1000,198.49,1000,, 
4.14, GSI Hand Helical SD3,Series 2 Group 1 Scan Settings ,0.5, Helical,64, false, false, S0.0, Medium,140,,,,,102,0,0,26.28,1000,619.14,1000,485,33
4.15, Hand Tendon 140keV nonHelical naga,Series 2 Group 1 Scan Settings ,1, Axial, SmartCollimation, true, false, S0.0, Small Body,140,,,,,102,0,0,16.6,1000,265.6,1000,200,
4.16, GSIX - Shoulder Routine,Series 2 Group 1 Scan Settings ,1, Helical,64, false, false, S0.0, Medium,120,,,,,102,0,1,14.49,1000,360.75,1000,270,63
4.11, Shunt CTA Routine SmartPrep,Series 2 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,11.6,100,700,102,0,2,10.27,1000,648.33,1000,,
4.11, Shunt CTA Routine SmartPrep,Series 3 Group 1 Scan Settings ,0.6, Helical,64, false, false, S0.0, Medium,100, true,11.6,100,700,102,0,2,10.32,1000,618.19,1000,,
4.11, Shunt CTA Routine SmartPrep,Series 3 Group 2 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,11.6,100,700,102,0,2,10.27,1000,648.33,1000,,
4.17, Hand Tendon 140keV Helical,Series 2 Group 1 Scan Settings ,1, Helical,64, true, false, S0.0, Small Body,140, true,3,200,405,102,0,0,16.46,1000,560.53,1000,,
5.13, PA PV (29s 90s) Routine,Series 2 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,11.6,100,700,102,0,2,7.5,1000,278.23,1000,,
5.13, PA PV (29s 90s) Routine,Series 2 Group 2 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,11.6,100,700,102,0,2,7.5,1000,199.52,1000,,
5.17, ASO SmartPrep,Series 2 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,11.6,100,700,102,0,2,10.27,1000,1244.09,1000,,
5.17, ASO SmartPrep,Series 3 Group 1 Scan Settings ,0.8, Helical,64, false, false, S0.0, Medium,100, true,11.6,100,700,102,0,2,10.18,1000,1199.88,1000,,
5.18, AKA Go&Return SmartPrep,Series 2 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,11.6,100,700,102,0,2,10.27,1000,648.33,1000,,
5.18, AKA Go&Return SmartPrep,Series 3 Group 1 Scan Settings ,0.35, Helical,64, false, false, S0.0, Medium,100, true,9.8,200,700,102,0,2,10.39,1000,634.35,1000,,
5.18, AKA Go&Return SmartPrep,Series 3 Group 2 Scan Settings ,0.35, Helical,64, false, false, S0.0, Medium,100, true,9.8,200,700,102,0,2,10.39,1000,634.35,1000,,
5.39, CCTA + Function,Series 2 Group 1 Scan Settings ,0.28, Cardiac, SmartCollimation, false, false, S0.0, Cardiac Large,120, true,35,100,200,102,0,1,2.66,1000,42.6,1000,,
5.39, CCTA + Function,Series 3 Group 1 Scan Settings ,0.28, Cardiac, SmartCollimation, true, false, S0.0, Cardiac Medium,120, true,25,100,475,102,0,1,7.49,1000,104.91,1000,,
5.32, GSIX Chest Low CA,Series 2 Group 1 Scan Settings ,0.5, Helical,128, false, false, S0.0, Medium,100, true,12.2,100,700,102,0,2,10.46,1000,613.5,1000,185,127
5.32, GSIX Chest Low CA,Series 3 Group 1 Scan Settings ,1, Helical,128, false, false, S0.0, Large Body,100,,,,,102,0,2,8.8,1000,317.43,1000,,
5.1, QQ Chest Routine,Series 2 Group 1 Scan Settings ,0.5, Helical,128, false, false, S0.0, Medium,100, true,14.7,100,700,102,0,2,10.45,1000,612.89,1000,,
5.1, QQ Chest Routine,Series 3 Group 1 Scan Settings ,0.5, Helical,128, false, false, S0.0, Medium,100, true,14.7,100,700,102,0,2,10.45,1000,403.84,1000,,
5.11, PA + DV Pause,Series 2 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,11.6,100,700,102,0,2,10.13,1000,376.12,1000,,
5.11, PA + DV Pause,Series 3 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,80, true,11.6,150,600,102,0,2,4.65,1000,562.63,1000,,
5.4, CABG,Series 2 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,17.3,50,250,102,0,1,1.53,1000,55.15,1000,,
5.4, CABG,Series 3 Group 1 Scan Settings ,0.28, Cardiac, SmartCollimation, false, false, S0.0, Cardiac Large,120, true,35,100,200,102,0,1,2.66,1000,42.6,1000,,
5.4, CABG,Series 4 Group 1 Scan Settings ,0.28, Cardiac, SmartCollimation, true, false, S0.0, Cardiac Medium,120, true,25,100,475,102,0,1,6.47,1000,237.7,1000,,
5.42, CABG + Function,Series 2 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,17.3,50,250,102,0,1,1.51,1000,54.51,1000,,
5.42, CABG + Function,Series 3 Group 1 Scan Settings ,0.28, Cardiac, SmartCollimation, false, false, S0.0, Cardiac Large,120, true,35,100,200,102,0,1,2.97,1000,47.45,1000,,
5.42, CABG + Function,Series 4 Group 1 Scan Settings ,0.28, Cardiac, SmartCollimation, true, false, S0.0, Cardiac Medium,120, true,25,100,475,102,0,1,7.11,1000,261.34,1000,,
5.19, Ablation,Series 2 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,17.3,50,250,103,0,1,1.51,1000,54.51,1000,,
5.19, Ablation,Series 3 Group 1 Scan Settings ,0.28, Cardiac, SmartCollimation, false, false, S0.0, Cardiac Medium,120, true,25,100,740,103,0,1,25.34,1000,931.21,1000,,
5.2, TAVI (Helical+Axial+Helical),Series 2 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,11.6,50,560,102,0,1,1.37,1000,104.44,1000,,
5.2, TAVI (Helical+Axial+Helical),Series 3 Group 1 Scan Settings ,0.28, Cardiac, SmartCollimation, false, false, S0.0, Cardiac Large,120, true,35,50,200,102,0,1,2.91,1000,46.53,1000,,
5.2, TAVI (Helical+Axial+Helical),Series 4 Group 1 Scan Settings ,0.28, Helical,64, false, false, S0.0, Medium,100, true,14.7,300,720,102,0,0,2.92,1000,55.19,1000,,
5.2, TAVI (Helical+Axial+Helical),Series 4 Group 2 Scan Settings ,0.28, Cardiac,256, false, false, S0.0, Cardiac Medium,120, true,13.9,100,740,102,0,0,14.5,1000,231.97,1000,,
5.2, TAVI (Helical+Axial+Helical),Series 4 Group 3 Scan Settings ,0.28, Helical,64, false, false, S0.0, Medium,100, true,14.7,150,720,102,0,0,5.44,1000,276.54,1000,,
5.21, TAVI (Coronary+Aorta no link),Series 2 Group 1 Scan Settings ,0.6, Helical,128, false, false, S0.0, Medium,100, true,11.6,150,700,102,0,2,1.53,1000,100.95,1000,,
5.21, TAVI (Coronary+Aorta no link),Series 3 Group 1 Scan Settings ,0.28, Cardiac, SmartCollimation, false, false, S0.0, Cardiac Large,120, true,35,50,200,102,0,1,2.61,1000,41.7,1000,,
5.21, TAVI (Coronary+Aorta no link),Series 4 Group 1 Scan Settings ,0.28, Cardiac, SmartCollimation, true, false, S0.0, Cardiac Medium,120, true,25,100,475,102,0,0,35.67,1000,570.77,1000,,
5.21, TAVI (Coronary+Aorta no link),Series 4 Group 2 Scan Settings ,0.28, Helical,64, false, false, S0.0, Medium,100, true,11.6,150,720,102,0,0,18.13,1000,1161.62,1000,,
5.22, GSI - Chest,Series 2 Group 1 Scan Settings ,1, Helical,128, false, false, S0.0, Large Body,120,,,,,102,0,2,8.42,1000,303.61,1000,215,127
